Location,easting,northing,Region,station_index
FPT/FPT,630762.5,4257477,North,1
RSAC155/FPT,630762.5,4257477,North,2
SUT/SUT,624348.3,4243212.4,North,3
HWB/HWB,619734.2,4239063.4,North,4
SSS/SSS,623598.2,4238356.2,North,5
BKS/BKS,"605,228.00",4237166.9,North,6
SLBAR002/BKS,"605,228.00",4237166.9,North,7
RSAC128/SDC,629664.2,4235427.1,North,8
RSAC128-RSAC123/SDC-GES,629664.2,4235427.1,North,9
SDC/SDC,629664.2,4235427.1,North,10
CHDCC000/DLC,630802.2,4234030.6,North,11
DLC/DLC,630802.2,4234030.6,North,12
SDC-GES,629664.2,4235427.1,North,13
SDC-GES/SDC-GES,629664.2,4235427.1,North,14
RSAC123/GES,629219.1,4233351.8,North,15
GES/GES,629219.1,4233351.8,North,16
GSS/GSS,629727.3,4233179.3,North,17
Georg_SL/GSS,629727.3,4233179.3,North,18
Georg_Sl/GSS,629727.3,4233179.3,North,19
RSAC101/RVB,614797.6,4223035.8,Central,20
RVB/RVB,614797.6,4223035.8,Central,20
RSAC101/SRV,614797.6,4223035.8,Central,21
SRV/SRV,614797.6,4223035.8,Central,22
STI/STI,631586.4,4219845,Central,23
RSMKL008/STI,631586.4,4219845,Central,24
MOK/MOK,625274.8,4218552.5,Central,25
SAL/SAL,623513.4,4218211.2,Central,26
RSAN032/SAL,623513.4,4218211.2,Central,27
TSL/TSL,615196.3,4218095.3,Central,28
SLTRM004/TSL,615196.3,4218095.3,Central,29
EMM/EMM,610598.8,4215917.6,Central,30
RSAC092/EMM,610598.8,4215917.6,Central,31
PRI/PRI,"626,573.00",4213393.1,Central,32
RSAN037/PRI,"626,573.00",4213393.1,Central,33
FAL/FAL,616952.5,4212848.6,Central,34
JER/JER-SJJ,"615,029.00",4212420.9,Central,35
RSAN018/JER-SJJ,"615,029.00",4212420.9,Central,36
JER/SJJ,615024.3,4212414.2,Central,37
RSAN018/SJJ,615024.3,4212414.2,Central,38
HOL/HOL,624476.9,4208582.2,Central,39
DSJ/DSJ,616676.6,4208098.2,Central,40
SLDUT007/DSJ,616676.6,4208098.2,Central,41
HLT/HLT,630737.3,4207200,Central,42
TRN/TRN,635762.3,4206110.6,Central,43
RSL/RSL,619885.2,4204031,Central,44
SLRCK005/RSL,619885.2,4204031,Central,44
OBI/OBI,625222.5,4203213.9,Central,45
ROLD024/OBI,625222.5,4203213.9,Central,46
BAC/BAC-OBI,625222.5,4203213.9,Central,47
ROLD024/BAC-OBI,625222.5,4203213.9,Central,48
RRI/RRI,643575.2,4202944.9,Central,49
RSAN058/RRI,643575.2,4202944.9,Central,50
OH4/OH4,625718.9,4194688.9,Central,51
ROLD034/OH4,625718.9,4194688.9,Central,52
SJG/SJG,646735.2,4199969.7,South,53
RSAN063/SJG,646735.2,4199969.7,South,54
CHVCT000/-VCU,629291.6,4192502.2,South,55
CHVCT000/VCU,629291.6,4192502.2,South,56
VCU/VCU,629291.6,4192502.2,South,57
VCU/-VCU,629291.6,4192502.2,South,58
BDT/BDT,647500.8,4192114.6,South,59
RSAN072/BDT,647500.8,4192114.6,South,60
CHSWP003/CLC,626952,4187911.6,South,61
CLC/CLC,626952,4187911.6,South,62
UNI/UNI,643018.6,4187320.1,South,63
OLD_MID/UNI,643018.6,4187320.1,South,64
GCT/GCT,636454.1,4186988.1,South,65
CHGRL009/GCT,636454.1,4186988.1,South,66
CHDMC006/DMC,626882.7,4186454,South,67
DMC/DMC,626882.7,4186454,South,68
OH1/OH1,647096.2,4185827.7,South,69
ROLD074/OH1,647096.2,4185827.7,South,70
OAD/OAD,628312.5,4185763.1,South,71
ROLD047/OAD,628312.5,4185763.1,South,72
ROLD059/OLD,636491.6,4185281.5,South,73
OLD/OLD,636491.6,4185281.5,South,74
MSD/MSD,649126.1,4183436.8,South,75
RSAN087/MSD,649126.1,4183436.8,South,76
VER/VER,653005.8,4171637.9,South,77
RSAN112/VER,653005.8,4171637.9,South,78
BDL/BDL,590134.7,4227040.1,Western,79
SLMZU011/BDL,590134.7,4227040.1,Western,80
SNC/SNC,580303.5,4226742.3,Western,81
SLCBN002/SNC,580303.5,4226742.3,Western,82
VOL/VOL,"583,348",4226330,Western,83
SLSUS012/VOL,"583,348",4226330,Western,84
NSL/NSL,597451.6,4219938,Western,85
SLMZU025/NSL,597451.6,4219938,Western,86
CLL/CLL,600858.7,4214644.1,Western,87
RSAC081/CLL,600858.7,4214644.1,Western,88
PCT/PCT,585550.4,4212803.2,Western,89
RSAC064/PCT,585550.4,4212803.2,Western,90
RSAC075/MAL,594757.5,4211123.3,Western,91
MAL/MAL,594757.5,4211123.3,Western,92
MRZ/MRZ,575432.5,4209227.7,Western,93
RSAC054/MRZ,575432.5,4209227.7,Western,94
ANH/ANH,605075.1,4208474.7,Western,95
RSAN007/ANH,605075.1,4208474.7,Western,96
ANC/ANC,605075.1,4208474.7,Western,97
RSAN007/ANC,605075.1,4208474.7,Western,98
DSJ/DSJ,616676.6,4208098.2,Western,99
SLDUT007/DSJ,616676.6,4208098.2,Western,100
